src_ip,dst_ip,query_name,transaction_id,rcode,ttl,packet_size,time_taken,query_length,response_length,src_port,dst_port,query_type,anomaly_label,entropy,response_code_category,query_volume,geo_region,response_code_ratio
8.8.8.8,8.8.8.8,test.example.org,0,NXDOMAIN,109,110,0.011025136654198853,16,110,53,53,MX,Normal,1,Error,0,US,0.0
1.1.1.1,1.1.1.1,rare.tld,44911,SERVFAIL,50000,184,4.773556156422643,204,184,53,53,MX,Anomalous,3,Error,0,Global,1.0
8.8.4.4,8.8.4.4,my.site.info,0,NXDOMAIN,116,104,0.6307305420613369,12,104,53,53,MX,Normal,1,Error,0,US,2.0
8.8.4.4,8.8.4.4,my.site.info,33164,SERVFAIL,1,41,3.1209467125567625,90,41,53,53,MX,Anomalous,4,Error,0,US,3.0
8.8.4.4,8.8.4.4,nonexistent.example,30766,REFUSED,1,143,2.325414857040108,63,143,53,53,AAAA,Anomalous,4,Error,0,US,4.0
1.1.1.1,1.1.1.1,example.com,30843,NXDOMAIN,1,345,3.191004012998056,229,345,53,53,TXT,Anomalous,4,Error,0,Global,4.0
8.8.8.8,8.8.8.8,openai.com,24590,SERVFAIL,1,65,3.8766309682684614,218,65,53,53,TXT,Anomalous,5,Error,0,US,5.0
1.1.1.1,1.1.1.1,google.com,0,No Error,59,72,-0.03589305336807358,10,72,53,53,A,Normal,1,No Error,0,Global,6.0
1.1.1.1,1.1.1.1,example.com,49857,REFUSED,50000,132,3.5542035421447515,6,132,53,53,TXT,Anomalous,5,Error,0,Global,6.0
1.1.1.1,1.1.1.1,my.site.info,0,NXDOMAIN,56,113,0.8466937172668878,12,113,53,53,AAAA,Normal,1,Error,0,Global,6.0
8.8.4.4,8.8.4.4,google.com,57471,REFUSED,1,190,2.1339240792950305,201,190,53,53,TXT,Anomalous,4,Error,0,US,7.0
8.8.4.4,8.8.4.4,rare.tld,6393,SERVFAIL,50000,119,3.2183463694131627,105,119,53,53,TXT,Anomalous,3,Error,0,US,7.0
8.8.8.8,8.8.8.8,test.example.org,0,NXDOMAIN,111,124,0.027712543003651308,16,124,53,53,A,Normal,1,Error,0,US,8.0
8.8.8.8,8.8.8.8,openai.com,0,No Error,102,88,0.14742448346249,10,88,53,53,A,Normal,1,No Error,0,US,9.0
8.8.4.4,8.8.4.4,google.com,0,No Error,121,78,0.01530175121621355,10,78,53,53,MX,Normal,1,No Error,0,US,4.5
8.8.8.8,8.8.8.8,test.example.org,0,NXDOMAIN,119,122,0.14580943270893748,16,122,53,53,A,Normal,1,Error,0,US,3.0
8.8.4.4,8.8.4.4,test.example.org,0,NXDOMAIN,111,106,0.0663422610334506,16,106,53,53,MX,Normal,1,Error,0,US,3.3333333333333335
1.1.1.1,1.1.1.1,test.example.org,770,REFUSED,1,98,2.8724780954324722,30,98,53,53,TXT,Anomalous,2,Error,0,Global,3.6666666666666665
8.8.8.8,8.8.8.8,google.com,9681,NXDOMAIN,1,82,4.025112620462593,213,82,53,53,A,Anomalous,4,Error,0,US,3.6666666666666665
8.8.4.4,8.8.4.4,subdomain.google.com,0,NXDOMAIN,112,111,0.1448114533119498,20,111,53,53,A,Normal,1,Error,0,US,4.0
1.1.1.1,1.1.1.1,openai.com,0,No Error,56,89,0.05070503541833951,10,89,53,53,MX,Normal,1,No Error,0,Global,4.333333333333333
8.8.4.4,8.8.4.4,nonexistent.example,62056,SERVFAIL,50000,308,3.5896495627379075,235,308,53,53,MX,Anomalous,4,Error,0,US,3.25
1.1.1.1,1.1.1.1,openai.com,52915,SERVFAIL,1,457,4.270857900708517,125,457,53,53,MX,Anomalous,4,Error,0,Global,3.5
1.1.1.1,1.1.1.1,my.site.info,0,NXDOMAIN,60,109,0.020232996127410002,12,109,53,53,A,Normal,1,Error,0,Global,3.75
8.8.8.8,8.8.8.8,nonexistent.example,0,NXDOMAIN,99,143,0.09357478113110054,19,143,53,53,MX,Normal,1,Error,0,US,4.0
8.8.8.8,8.8.8.8,openai.com,0,No Error,110,93,0.14576447582336582,10,93,53,53,AAAA,Normal,1,No Error,0,US,4.25
1.1.1.1,1.1.1.1,example.com,0,No Error,56,64,0.09863476310412014,11,64,53,53,MX,Normal,1,No Error,0,Global,3.4
